id,task,timesheetdate,comments,employee_id,created_at,updated_at,is_billed,hours,rate,workspace,project_id,client_id,role_id
1,Bugzilla issues,2015-10-01,NULL,4,2015-11-05,2015-11-05,1,1.5,1375,NULL,18,5,54
2,induction,2015-10-01,NULL,26,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
3,induction,2015-10-01,NULL,24,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
4,"Package for Stock, made minor changes in the database connections for all the transformations.",2015-10-01,NULL,11,2015-11-05,2015-11-05,1,8,875,NULL,13,4,52
5,Bugzilla issues,2015-10-01,NULL,21,2015-11-05,2015-11-05,1,1.5,1875,NULL,18,5,51
6,Bugzilla issues,2015-10-01,NULL,21,2015-11-05,2015-11-05,1,5.5,1875,NULL,18,5,51
7,Acess is given to users for reports,2015-10-01,Radhika K,9,2015-11-05,2015-11-05,1,0.5,750,NULL,26,4,53
8,Testing on rupture summary for retail dashboard,2015-10-01,Radhika K,9,2015-11-05,2015-11-05,1,1,750,NULL,26,4,53
9,Testing on stock report for retail database,2015-10-01,Radhika K,9,2015-11-05,2015-11-05,1,0.5,750,NULL,26,4,53
10,Training - Induction,2015-10-01,NULL,4,2015-11-05,2015-11-05,0,8,0,NULL,30,7,48
11,Tutorials on QlikView,2015-10-01,Radhika K,9,2015-11-05,2015-11-05,0,6,0,NULL,27,10,17
12,"Running WAPP Fix, Access, WH Rupture Issue",2015-10-01,NULL,9,2015-11-05,2015-11-05,1,8,750,NULL,26,4,53
13,SQL server on cloud options and analysis,2015-10-01,NULL,2,2015-11-05,2015-11-05,1,8,875,NULL,26,4,5
14,Sales Loading and Checking for CRN using substring fucntion in Order column,2015-10-01,NULL,13,2015-11-05,2015-11-05,1,8,875,NULL,13,4,52
15,Induction,2015-10-01,NULL,25,2015-11-05,2015-11-05,0,8,0,NULL,30,7,49
16,"Apex Dashboard requirements, meetings, build and setup",2015-10-01,NULL,10,2015-11-05,2015-11-05,1,8,1500,NULL,7,5,45
17,"Apex Dashboard requirements, meetings, build and setup",2015-10-01,NULL,6,2015-11-05,2015-11-05,1,8,1125,NULL,7,5,46
